age	O. umbonatus	O. umbonatus	5 pt moving average	5 pt  	% coarse	5 pt 	DCO3= 	DCO3= 	Temp 	BWT	d18O	5 point 	d13C	5 point 	seawater 	seawater 
(Ma)	Li/Ca	Mg/Ca	Li/Ca	moving		 moving	assuming 	assuming 	assuming 	assuming no 	C.mundulus	moving 	C.mundulus	moving 	d18O	d18O
	(umol/mol)	(mmol/mol)	(umol/mol)	average		average	DCO3= 	DCO3= 	BWT at 	saturation 	(per mille) PDB	average	(per mille) PDB	average	 (PDB) (per mille)	 (PDB) (per mille)
				Mg/Ca		% coarse	at 16.975Ma	at 16.975Ma	16.975Ma 	correction	unadjusted	d18O 	unadjusted	d13C	using 	using 
				(mmol/mol)			=0 umol/kg	=0 umol/kg	10.25	necessary 		(per mille) PDB		(per mille) PDB	corrected 	uncorrected 
							using	using		(above threshold)		unadjusted		unadjusted	BWT	BWT
							" ""corrected"" "	" ""uncorrected"" "								
							BWT	BWT								

13.171	15	2.14	15	2.33	28	29	-10.5	-23.5	8.9	8	1.95	1.97	1.03	1.05	0.46	0.25
13.13	15.1	2.44	15	2.31	28	30	-12	-26.9	8.8	7.8	2.14	1.98	1.05	1.06	0.45	0.21
13.109	14.6	2.3	15	2.32	31	31	-11.2	-25	8.8	7.9	1.86	2	0.93	1.01	0.47	0.25
13.089	15.2	2.32	15	2.36	31	33	-8.3	-18.6	8.9	8.3	1.95	2.03	1.08	0.97	0.53	0.37
13.068	15.1	2.39	15	2.3	36	33	-11.7	-26.3	8.7	7.8	2.09	2.01	0.94	0.97	0.46	0.23
13.048	15.2	2.35	15	2.33	37	33	-9.9	-22.2	8.8	8	2.09	2.04	0.86	0.99	0.52	0.33
13.027	15.1	2.15	15.2	2.35	32	34	-7.8	-17.7	8.8	8.2	2.07	2.12	1.03	0.97	0.59	0.44
13.006	14.6	2.45	15.4	2.33	28	35	-6.6	-15.3	8.5	8	2.02	2.13	1.04	0.96	0.54	0.4
12.986	15.7	2.4	15.5	2.3	37	35	-7.3	-17	8.3	7.7	2.33	2.19	0.96	1.01	0.54	0.39
12.965	16.4	2.28	15.7	2.37	40	36	-1	-3.1	8.5	8.3	2.14	2.22	0.93	1	0.61	0.58
12.945	15.7	2.2	15.8	2.31	37	37	-3.3	-8.3	8.2	7.9	2.37	2.28	1.08	0.98	0.6	0.52
12.883	16.1	2.51	15.6	2.28	37	36	-7.1	-16.5	8.2	7.6	2.24	2.27	0.99	0.98	0.59	0.44
12.862	15.2	2.16	15.5	2.27	33	35	-9.5	-21.7	8.3	7.5	2.31	2.28	0.96	0.98	0.63	0.43
12.842	14.8	2.24	15.7	2.35	34	34	-2.5	-6.4	8.4	8.2	2.28	2.26	0.92	0.93	0.64	0.58
12.821	15.4	2.24	15.4	2.31	36	34	-7.6	-17.4	8.5	7.8	2.2	2.25	0.92	0.88	0.64	0.49
12.801	16.8	2.59	15.7	2.38	32	33	-0.9	-2.9	8.5	8.4	2.27	2.22	0.85	0.88	0.63	0.6
12.78	14.8	2.31	15.8	2.4	34	33	2.7	4.9	8.5	8.7	2.19	2.17	0.73	0.88	0.58	0.61
12.76	16.4	2.5	15.5	2.43	28	32	0.9	1.1	8.8	8.8	2.14	2.17	0.98	0.88	0.65	0.66
12.739	15.8	2.38	15.3	2.39	34	32	-3.4	-8.1	8.9	8.6	2.05	2.17	0.91	0.89	0.66	0.59
12.719	13.9	2.34	15.1	2.41	30	32	-4.3	-10	9.1	8.7	2.21	2.21	0.92	0.93	0.76	0.66
12.699	15.7	2.43	15	2.39	32	32	-6.8	-15.4	9.1	8.5	2.27	2.23	0.93	0.93	0.77	0.64
12.678	13.7	2.4	14.9	2.39	33	32	-7.3	-16.4	9.1	8.5	2.38	2.26	0.93	0.93	0.81	0.67
12.638	15.9	2.4	15.4	2.41	32	33	-1.8	-4.6	8.8	8.7	2.23	2.28	0.95	0.94	0.76	0.72
12.617	15.6	2.37	15.1	2.35	31	33	-8	-18.1	8.8	8.2	2.21	2.28	0.95	0.94	0.77	0.61
12.597	16.1	2.43	15.5	2.34	36	32	-5	-11.7	8.6	8.1	2.3	2.28	0.96	0.96	0.7	0.59
12.577	14.2	2.16	15.4	2.32	33	34	-6.9	-15.9	8.5	7.9	2.28	2.28	0.9	0.94	0.68	0.54
12.557	15.5	2.36	15.5	2.31	30	36	-6.6	-15.3	8.4	7.8	2.37	2.3	1.05	0.95	0.67	0.53
12.537	15.7	2.27	15.3	2.31	38	37	-8.5	-19.4	8.5	7.8	2.24	2.31	0.86	0.96	0.72	0.55
12.517	16.1	2.32	15.3	2.34	45	38	-6.5	-14.9	8.6	8.1	2.32	2.32	1	0.99	0.76	0.62
12.497	15.1	2.44	14.9	2.33	38	39	-11.4	-25.5	8.9	8	2.35	2.28	1.01	0.95	0.78	0.55
12.477	14.4	2.3	14.7	2.37	37	38	-11.1	-24.6	9.2	8.4	2.35	2.29	1.01	0.97	0.87	0.66
12.457	13.3	2.31	14.7	2.31	35	36	-14.1	-31.2	9	7.9	2.14	2.25	0.9	0.93	0.76	0.49
12.418	14.6	2.47	14.5	2.29	33	35	-17.5	-38.7	9.1	7.7	2.33	2.19	0.95	0.88	0.72	0.39
12.398	16.3	2.03	14.5	2.29	34	34	-17.7	-39	9.1	7.7	2.09	2.16	0.77	0.83	0.7	0.36
